index,Name.x,Hall.of.Fame.Class,Year.Drafted,RGP,RMIN,RPTS,RFGM,RFGA,RFG.,RX3P.Made,RX3PA,RX3P.,RFTM,RFTA,RFT.,ROREB,RDREB,RREB,RAST,RSTL,RBLK,RTOV,REFF,HOF,birth_year,pos,age,experience,lg,tm,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
20,Darrell Griffith,NA,1980,81,35.4,20.6,8.8,19.1,46.4,0.1,0.6,19.2,2.8,4,71.6,1,2.6,3.6,2.4,1.3,0.5,2.9,14.2,0,NA,SG,22,1,NBA,UTA,0.496,0.034,0.207,3.2,8.3,5.8,11.4,1.8,0.8,12.1,28.8,-0.8,1.1,0.4,0.006,-1,-2.2,-3.2,-0.9
24,Earl Cureton,NA,1980,52,10.2,4.2,1.8,3.9,45.4,0,0,0,0.6,1.2,51.6,1,2,3,0.5,0.4,0.4,0.6,5.2,0,NA,C,23,1,NBA,PHI,0.47,0.005,0.312,11.4,20,16,6.4,1.8,2.4,11.1,20,0.1,1.1,1.2,0.109,-1.9,0.4,-1.5,0.1
25,Edgar Jones,NA,1980,60,15.8,8.7,3.2,6,52.9,0,0.1,0,2.4,3.6,67,1.5,2.9,4.4,0.7,0.6,1.4,1.7,10.1,0,NA,PF,24,1,NBA,NJN,0.578,0.011,0.611,10.7,20.8,15.6,6.7,1.7,4.8,18.2,23,0.9,1.4,2.3,0.116,-1.5,1.2,-0.3,0.4
26,James Donaldson,NA,1980,68,14.4,5.3,1.9,3.5,54.2,0,0,0,1.5,2.5,59.4,1.6,3,4.5,0.6,0.1,1.1,1,8,0,NA,C,23,1,NBA,SEA,0.574,0,0.714,12.3,22.2,17.3,6,0.4,4.1,17.9,15.8,1.1,1.4,2.5,0.124,0.2,0.5,0.8,0.7
28,Jeff Wilkins,NA,1980,56,18.9,4.7,2.1,4.6,45,0,0,0,0.5,0.7,67.5,1.1,3.8,4.9,0.7,0.6,0.8,1.1,7.8,0,NA,C,25,1,NBA,UTA,0.47,0,0.154,6.8,22.7,14.9,5.2,1.5,2.5,17.5,13.7,-0.5,1.1,0.5,0.024,-4.1,0.1,-4,-0.5
29,Jerry Sichting,NA,1980,47,9.6,2,0.7,2,35.8,0,0.1,0,0.5,0.7,78.1,0.2,0.7,0.9,1.5,0.5,0,0.6,2.9,0,NA,PG,24,1,NBA,IND,0.426,0.053,0.337,2.6,8,5.2,19.2,2.4,0.1,20.4,12.2,-0.1,0.4,0.3,0.032,-3.3,0.5,-2.7,-0.1
31,John Duren,NA,1980,40,11.5,1.8,0.8,2.5,32.7,0,0,0,0.1,0.2,55.6,0.2,0.7,0.9,1.4,0.5,0.1,0.9,1.8,0,NA,PG,22,1,NBA,UTA,0.338,0.01,0.089,2,6.7,4.4,15.3,1.9,0.3,26.1,13.3,-1.1,0.2,-0.9,-0.099,-6.6,-0.9,-7.5,-0.6
32,Johnny Moore,NA,1980,82,19.2,7.4,3,6.3,47.9,0,0.2,5.3,1.3,2.1,61,0.7,1.7,2.4,4.5,1.5,0.3,1.9,10,0,NA,PG,22,1,NBA,SAS,0.507,0.037,0.331,4.2,9.1,6.8,31.8,3.5,0.7,20.5,18.9,1.2,2,3.2,0.099,0.2,1,1.2,1.3
34,Kevin McHale,1999,1980,82,20.1,10,4.3,8.1,53.3,0,0,0,1.3,1.9,67.9,1.9,2.5,4.4,0.7,0.3,1.8,1.3,11.4,1,NA,PF,23,1,NBA,BOS,0.556,0.003,0.239,11.2,13.6,12.4,4.8,0.8,5.1,13,20.9,2.3,2.4,4.7,0.137,-0.9,0.9,0.1,0.9
35,Kiki Vandeweghe,NA,1980,51,27,11.5,4.5,10.5,42.6,0,0.1,0,2.5,3.1,81.8,1.7,3.6,5.3,1.8,0.6,0.5,1.7,11.4,0,NA,SF,22,1,NBA,DEN,0.484,0.013,0.296,6.2,14,10,8.7,0.9,0.9,12.4,18.7,0.7,0.5,1.2,0.04,-1,-1.7,-2.7,-0.3
