index,Name,Hall.of.Fame.Class,Year.Drafted,RGP,RMIN,RPTS,RFGM,RFGA,RFG.,RX3P.Made,RX3PA,RX3P.,RFTM,RFTA,RFT.,ROREB,RDREB,RREB,RAST,RSTL,RBLK,RTOV,REFF,HOF
149,Dane Suttle,NA,1983,40,11.7,6.5,2.7,5.4,50.9,0,0.1,0,1,1.2,85.1,0.5,0.6,1.2,1.2,0.5,0,0.8,5.7,0
150,Darrell Walker,NA,1983,82,16.1,7.9,2.6,6.3,41.7,0,0.2,26.7,2.5,3.2,79.1,0.9,1.1,2,3.5,1.6,0.2,2.4,8.4,0
151,Darren Daye,NA,1983,75,15.7,6.1,2.4,5.4,44.1,0,0.1,0,1.3,1.8,71.4,1.2,1.3,2.5,2.3,0.5,0.2,1.3,6.8,0
152,Derek Harper,NA,1983,82,20.9,5.7,2.4,5.5,44.3,0,0.3,11.5,0.8,1.2,67.3,0.6,1.5,2.1,2.9,1.2,0.3,1.4,7.3,0
153,Doc Rivers,NA,1983,81,23.9,9.3,3.1,6.7,46.2,0,0.1,16.7,3.1,4,78.5,0.9,1.8,2.7,3.9,1.6,0.4,2.1,11.3,0
154,Ennis Whatley,NA,1983,80,27,8.4,3.3,7,46.9,0,0,0,1.8,2.5,73,0.8,1.7,2.5,8.3,1.5,0.2,3.4,13.1,0
155,Fred Roberts,NA,1983,79,19.4,7.3,2.7,5.1,53.6,0,0.1,25,1.8,2.2,83.7,1.3,2.6,3.8,1.2,0.7,0.5,1.3,9.5,0
156,Granville Waiters,NA,1983,78,13.3,3.6,1.6,3.1,51.7,0,0,0,0.4,0.7,60.8,0.8,2.1,2.9,0.8,0.3,1.1,0.8,6.1,0
157,Greg Kite,NA,1983,35,5.6,1.9,0.9,1.9,45.5,0,0,0,0.1,0.5,31.3,0.8,1,1.8,0.2,0,0.1,0.6,2.1,0
158,Howard Carter,NA,1983,55,12.5,6.2,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,5.4,0
159,Jeff Malone,NA,1983,81,24.4,12.1,5,11.3,44.4,0.3,0.9,32.4,1.8,2.1,82.6,0.7,1.2,1.9,1.9,0.3,0.2,1.4,8.3,0
160,Jim Thomas,NA,1983,72,16.9,6.3,2.6,5.6,46.4,0,0.2,9.1,1.1,1.5,72.7,0.8,1.3,2.1,1.8,0.8,0.1,1,6.7,0
161,John Paxson,NA,1983,49,9.3,2.9,1.2,2.8,44.5,0.1,0.4,18.2,0.3,0.5,61.5,0.1,0.6,0.7,3,0.2,0,0.7,4.4,0
162,Jon Sundvold,NA,1983,73,17.6,6.9,3,6.7,44.5,0.1,0.5,24.3,0.9,1,88.9,0.3,0.9,1.2,3.3,0.4,0,1.1,6.9,0
163,Larry Micheaux,NA,1983,39,8.5,3.1,1.3,2.3,54.4,0,0,0,0.5,1,53.8,1,1.9,2.9,0.5,0.5,0.3,0.5,5.2,0
164,Leroy Combs,NA,1983,48,9.3,4.5,1.7,3.4,49.7,0,0.1,0,1.2,1.9,61.5,0.4,0.8,1.2,0.8,0.5,0.4,1,4,0
165,Mitchell Wiggins,NA,1983,82,25.9,12.4,4.9,10.9,44.8,0.1,0.4,24.1,2.6,3.5,74.2,1.7,2.3,4,2.3,1.3,0.1,1.7,11.5,0
166,Pace Mannion,NA,1983,57,8.2,2.1,0.9,2.2,39.7,0.1,0.2,23.1,0.3,0.4,78.3,0.4,0.6,1,0.8,0.4,0,0.4,2.6,0
167,Paul Thompson,NA,1983,82,21.1,9,3.8,8.1,46.7,0.1,0.5,23.1,1.4,1.8,77.2,1.5,2.3,3.8,1.5,0.8,0.5,0.9,10,0
168,Ralph Sampson,2012,1983,82,32.8,21,8.7,16.7,52.3,0,0,25,3.5,5.3,66.1,3.6,7.6,11.1,2,0.8,2.4,3.6,24,1
169,Randy Breuer,NA,1983,57,8.3,2.9,1.2,3.1,38.4,0,0,0,0.6,0.8,69.6,0.8,1.1,1.9,0.3,0.2,0.7,0.6,3.2,0
170,Randy Wittman,NA,1983,78,13.7,4.5,2.1,4.1,50.3,0,0.1,40,0.4,0.6,60.9,0.2,0.7,0.9,0.9,0.2,0,0.4,3.9,0
171,Rod Foster,NA,1983,80,17.8,8.3,3.3,7.3,44.8,0.3,1.1,26.2,1.5,1.9,78.7,0.5,1,1.5,2.2,0.7,0.1,1.4,7,0
172,Rodney McCray,NA,1983,79,26.3,10.8,4.2,8.5,49.9,0,0.1,25,2.3,3.2,73.1,2.2,3.5,5.7,2.2,0.7,0.7,1.5,13.4,0
173,Roy Hinson,NA,1983,80,23.2,5.5,2.3,4.6,49.6,0,0,0,0.9,1.5,59,2.2,4.1,6.2,0.9,0.4,1.8,1.4,10.5,0
174,Russell Cross,NA,1983,45,7.9,3.7,1.4,2.5,57.1,0,0,0,0.8,2,41.8,0.8,1,1.8,0.5,0.3,0.2,0.4,3.8,0
175,Scooter McCray,NA,1983,47,11.1,2.7,1,2.6,38.8,0,0,0,0.7,1.1,70,1,1.5,2.4,0.9,0.2,0.4,0.7,4.1,0
176,Sedale Threatt,NA,1983,45,10.3,3.3,1.4,3.3,41.9,0,0.2,12.5,0.5,0.6,82.1,0.4,0.5,0.9,0.9,0.3,0,0.7,2.7,0
177,Sidney Green,NA,1983,49,13.6,5.2,2,4.7,43.9,0,0,0,1.1,1.6,71.4,1.2,2.4,3.6,0.5,0.4,0.3,1.2,5.7,0
178,Sidney Lowe,NA,1983,78,15.9,4.2,1.4,3.3,41.3,0,0.2,11.1,1.4,1.8,77.7,0.4,1.2,1.6,3.4,1.2,0.1,1.4,6.7,0
179,Steve Stipanovich,NA,1983,81,30,12,4.8,10.1,48,0,0.2,18.8,2.3,3,75.3,1.4,5.5,6.9,2.1,0.9,0.8,2,14.8,0
180,Stewart Granger,NA,1983,56,13.2,4.5,1.7,4,42.9,0.1,0.2,30.8,0.9,1.3,75.7,0.1,0.8,1,2.4,0.4,0,1,4.7,0
181,Thurl Bailey,NA,1983,81,24.8,8.5,3.7,7.3,51.2,0,0,0,1.1,1.4,75.2,1.4,4.3,5.7,1.6,0.5,1.5,1.3,12.6,0
182,Alvin Robertson,NA,1984,79,21.3,9.2,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,1.5,1.9,3.4,3.5,1.6,0.3,2.1,11.4,0
183,Antoine Carr,NA,1984,62,19.3,8,3.2,6,52.8,0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,3.7,1.3,0.5,1.3,1.7,9.8,0
184,Bernard Thompson,NA,1984,59,9.1,3.3,1.3,3.6,37.3,0,0.1,0,0.7,0.9,76.5,0.6,0.7,1.3,0.9,0.5,0.2,0.6,3.2,0
185,Charles Barkley,2006,1984,82,28.6,14,5.2,9.5,54.5,0,0.1,16.7,3.6,4.9,73.3,3.2,5.3,8.6,1.9,1.2,1,2.5,18.4,1
186,Charles Jones,NA,1984,78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,10.5,0
187,Charlie Sitton,NA,1984,43,7.1,2.1,0.9,2.2,41.5,0,0,0,0.3,0.6,52,0.6,0.8,1.4,0.6,0.2,0.1,0.4,2.4,0
188,Chuck Aleksinas,NA,1984,74,15.1,5.1,2.2,4.6,47.8,0,0,0,0.7,1,73.3,1.2,2.5,3.6,0.5,0.2,0.2,1,6,0
189,Cory Blackwell,NA,1984,60,9.2,3.4,1.5,4,36.7,0,0,0,0.5,0.9,50.9,0.7,0.9,1.6,0.4,0.4,0.1,0.7,2.2,0
190,Devin Durrant,NA,1984,59,12.8,5.1,1.9,4.6,41.6,0,0.1,0,1.2,1.7,70.6,0.8,1.3,2.1,1.4,0.3,0.2,1.3,4.5,0
191,Eddielee Wilkins,NA,1984,54,17,5.5,2.1,4.3,49.8,0,0,0,1.2,2.3,54.1,1.6,3.3,4.9,0.3,0.4,0.3,1.2,7,0
192,Frank Brickowski,NA,1984,78,14.3,4.9,1.9,3.9,49.2,0,0.1,0,1.1,1.6,66.9,1,2.4,3.3,1.3,0.4,0.2,1.3,6.4,0
193,Gary Plummer,NA,1984,66,10.6,3.8,1.4,3.5,39.7,0,0.1,25,1,1.4,70.7,0.8,1.2,2,0.4,0.2,0.2,0.8,3.4,0
194,Hakeem Olajuwon,2008,1984,82,35.5,20.6,8.3,15.3,53.8,0,0,0,4.1,6.7,61.3,5.4,6.5,11.9,1.4,1.2,2.7,2.9,25.2,1
195,Jay Humphries,NA,1984,80,25.8,8.8,3.5,7.8,44.6,0.1,0.3,20,1.8,2.1,82.9,0.4,1.7,2.1,4.4,1.3,0.1,2.1,9.9,0
196,Jeff Turner,NA,1984,72,19.8,5.8,2.4,5.2,45.4,0,0,0,1.1,1.3,85.9,1.2,1.8,3,1.5,0.4,0.1,1.3,6.6,0
197,Jerome Kersey,NA,1984,77,12.4,6.1,2.3,4.8,47.8,0,0,0,1.5,2.4,64.6,1.2,1.4,2.7,0.8,0.6,0.4,0.9,6.4,0
198,Jim Petersen,NA,1984,60,11.9,3.2,1.2,2.4,48.6,0,0,0,0.8,1.1,75.8,0.7,1.7,2.5,0.5,0.2,0.5,1.2,4.2,0
199,John Stockton,2009,1984,82,18.2,5.6,1.9,4.1,47.1,0,0.1,18.2,1.7,2.4,73.6,0.3,1,1.3,5.1,1.3,0.1,1.8,8.8,1
200,Ken Bannister,NA,1984,75,18.7,6.8,2.8,5.9,47,0,0,0,1.2,2.6,47.4,1.4,3,4.4,0.5,0.5,0.5,1.9,6.4,0
201,Kenny Fields,NA,1984,51,10.5,3.8,1.6,3.7,44,0,0,0,0.5,0.7,75,0.8,0.8,1.6,0.7,0.2,0.2,0.6,3.7,0
202,Kevin Willis,NA,1984,82,21.8,9.3,3.9,8.4,46.7,0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,6.4,0.4,0.4,0.6,1.3,10.6,0
203,Lancaster Gordon,NA,1984,63,10.8,4.1,1.7,4.6,38.3,0,0.1,22.2,0.6,0.8,75.5,0.4,0.6,1,1.4,0.5,0.1,1.1,3,0
204,Leon Wood,NA,1984,38,7.1,3.2,1.3,3.5,37.3,0.1,0.8,13.3,0.5,0.7,69.2,0.1,0.4,0.5,1.2,0.2,0,0.7,2,0
205,Mel Turpin,NA,1984,79,24.7,10.6,4.6,9,51.1,0,0,0,1.4,1.8,78.4,2,3.8,5.7,0.5,0.5,1.1,1.5,12.1,0
206,Michael Cage,NA,1984,75,21.5,7.1,2.9,5.3,54.3,0,0,0,1.3,1.8,73.7,1.7,3.5,5.2,0.7,0.6,0.4,1.1,10,0
207,Michael Holton,NA,1984,74,23.8,8.4,3.5,7.8,44.6,0.2,0.6,31.1,1.3,1.6,81.4,0.4,1.4,1.8,2.7,0.8,0.1,1.7,7.5,0
208,Michael Jordan,2009,1984,82,38.3,28.2,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2,4.5,6.5,5.9,2.4,0.8,3.5,29.2,1
209,Othell Wilson,NA,1984,74,17,4.4,1.8,3.9,46,0,0.2,18.8,0.7,1,71.1,0.5,1.3,1.8,2.9,1,0.2,1.3,6.6,0
210,Otis Thorpe,NA,1984,82,23.4,12.8,5,8.4,60,0,0,0,2.8,4.5,62,2.3,4.5,6.8,1.4,0.4,0.5,2.3,14.5,0
211,Ozell Jones,NA,1984,67,13.3,3.7,1.6,2.7,58.9,0,0,0,0.5,1.2,39.8,1,2.6,3.6,0.8,0.5,0.8,0.9,6.6,0
212,Peter Thibeaux,NA,1984,51,9,4.5,1.8,3.8,48.2,0,0,0,0.8,1.3,64.2,0.6,0.8,1.4,0.3,0.2,0.3,0.7,3.6,0
213,Rick Carlisle,NA,1984,38,4.7,1.8,0.7,1.8,38.8,0,0.1,0,0.4,0.4,88.2,0.2,0.3,0.6,0.7,0.1,0,0.5,1.4,0
214,Ron Anderson,NA,1984,36,14.4,5.8,2.3,5.4,43.1,0,0.1,50,1.1,1.4,82,1.1,1.4,2.4,0.9,0.3,0.2,0.9,5.4,0
215,Ron Cavenall,NA,1984,53,12.3,1.5,0.5,1.6,32.6,0,0,0,0.4,0.7,56.4,1,2.1,3.1,0.4,0.2,0.8,0.8,3.7,0
216,Sam Bowie,NA,1984,76,29.2,10,3.9,7.3,53.7,0,0,0,2.1,3,71.1,2.7,5.9,8.6,2.8,0.7,2.7,2.3,18.3,0
217,Sam Perkins,NA,1984,82,28.3,11,4.2,9,47.1,0.1,0.4,25,2.4,3,82,2.3,5.1,7.4,1.6,0.8,0.8,1.2,15,0
218,Steve Burtt,NA,1984,47,8.9,4.2,1.5,4,38.3,0,0,0,1.1,1.6,68.8,0.2,0.4,0.6,0.4,0.5,0.1,0.7,2.1,0
219,Steve Colter,NA,1984,78,18.7,7.1,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1.9,3.1,1,0.1,1.4,8.1,0
220,Stuart Gray,NA,1984,52,7.5,2,0.7,1.8,38,0,0,0,0.6,0.9,68.1,0.6,1.8,2.4,0.3,0.2,0.3,1,2.7,0
221,Terence Stansbury,NA,1984,74,17.3,7.1,2.8,6.2,45.9,0.1,0.3,16,1.4,1.7,81,0.5,1,1.5,1.7,0.6,0.2,1.1,6.4,0
222,Tim McCormick,NA,1984,78,20.3,9.3,3.4,6.2,55.7,0,0,0,2.4,3.4,71.5,1.9,3.2,5.1,1,0.2,0.4,1.5,10.9,0
223,Tom Scheffler,NA,1984,39,6.9,1.3,0.5,1.3,41.2,0,0,0,0.3,0.5,50,0.5,1.5,1.9,0.3,0.2,0.3,0.4,2.6,0
224,Tony Brown,NA,1984,82,19.3,6.6,2.6,5.7,46,0,0.1,0,1.4,2.1,67.8,1.8,1.7,3.5,1.9,0.7,0.1,1.4,7.8,0
225,Tony Campbell,NA,1984,56,11.2,5.6,2.3,4.7,49.6,0,0,0,1,1.3,80,0.7,0.9,1.6,0.4,0.5,0.1,1.2,4.4,0
226,Vern Fleming,NA,1984,80,31.1,14.1,5.4,11.5,47,0,0.1,0,3.3,4.2,76.7,1.9,2.2,4,3.1,1.2,0.1,2.5,13,0
227,Willie White,NA,1984,39,6,3.3,1.3,3.2,41.9,0.1,0.3,36.4,0.5,0.8,67.7,0.4,0.5,0.9,0.7,0.1,0.1,0.8,2.3,0
228,A.C. Green,NA,1985,82,18.8,6.4,2.5,4.7,53.9,0,0.1,16.7,1.2,2,61.1,2,2.7,4.6,0.7,0.6,0.6,1.2,8.7,0
229,Alfredrick Hughes,NA,1985,68,12.7,5.2,2.2,5.5,40.9,0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,3.6,0
230,Benoit Benjamin,NA,1985,79,26.4,11.1,4.1,8.4,49,0,0,33.3,2.9,3.9,74.6,2,5.6,7.6,1,0.8,2.6,1.8,16,0
231,Bill Martin,NA,1985,66,10.5,5,2.2,4.5,48,0,0.1,0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,4.4,0
232,Bill Wennington,NA,1985,56,10,3.4,1.3,2.7,47.1,0,0.1,0,0.8,1.1,72.6,0.6,1.8,2.4,0.4,0.2,0.4,0.4,4.6,0
233,Blair Rasmussen,NA,1985,48,6.9,3.2,1.3,3.1,40.7,0,0,0,0.6,0.8,79.5,0.8,1.3,2,0.3,0.1,0.2,0.8,3,0
234,Bob Thornton,NA,1985,71,18.6,4.7,1.8,3.9,45.6,0,0,0,1.2,2.3,53.1,1.6,2.5,4.1,0.6,0.4,0.1,1.2,5.6,0
235,Carey Scurry,NA,1985,78,15,4.7,1.8,3.9,47.2,0,0.1,9.1,1,1.6,61.9,1.2,1.9,3.1,1.1,1,0.8,1.2,6.8,0
236,Charles Oakley,NA,1985,77,23,9.6,3.6,7,51.9,0,0,0,2.3,3.5,66.2,3.3,5.3,8.6,1.7,0.9,0.4,2.3,14.4,0
237,Chris Mullin,2011,1985,55,25.3,14,5.2,11.3,46.3,0.1,0.5,18.5,3.4,3.8,89.6,0.8,1.3,2.1,1.9,1.3,0.4,1.4,11.8,1
238,Detlef Schrempf,NA,1985,64,15.1,6.2,2.2,4.9,45.1,0,0.1,42.9,1.7,2.4,72.4,1.1,2,3.1,1.4,0.4,0.2,1.3,6.5,0
239,Dirk Minniefield,NA,1985,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27,1,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0,1.4,7.6,0
240,Dwayne McClain,NA,1985,45,10.2,3.5,1.5,4,38.3,0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0.7,1.5,0.8,0.1,0.9,2.8,0
241,Ed Pinckney,NA,1985,80,20,8.5,3.2,5.7,55.8,0,0,0,2.1,3.2,67.3,1.2,2.7,3.9,1.1,0.9,0.5,1.9,9.4,0
242,Fred Cofield,NA,1985,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20,0.3,0.4,60,0.1,0.9,1,1.8,0.4,0.1,1.1,3.3,0
243,Georgi Glouchkov,NA,1985,49,15.8,4.9,1.7,4.3,40.2,0,0,100,1.4,2.5,57.4,0.6,2.7,3.3,0.7,0.5,0.5,1.6,4.7,0
244,Gerald Wilkins,NA,1985,81,25,12.5,5.4,11.5,46.8,0.1,0.3,28,1.6,2.9,55.7,1.1,1.4,2.6,2,0.8,0.1,1.9,8.6,0
245,Jerry Reynolds,NA,1985,55,9.2,3.7,1.3,2.9,44.4,0,0,50,1.1,1.9,55.8,0.7,0.8,1.5,1.6,0.8,0.3,0.9,4.4,0
246,Joe Dumars,2006,1985,82,23.9,9.4,3.5,7.3,48.1,0.1,0.2,31.3,2.3,2.9,79.8,0.7,0.7,1.5,4.8,0.8,0.1,1.9,10.2,1
247,Joe Kleine,NA,1985,80,14.8,5.2,2,4.3,46.5,0,0,0,1.2,1.6,72.3,1.4,3.3,4.7,0.6,0.3,0.4,1.3,7.1,0
248,John Battle,NA,1985,64,10,4.3,1.6,3.5,45.5,0,0.1,0,1.2,1.6,72.8,0.2,0.8,1,1.2,0.4,0.1,0.7,3.8,0
249,Jon Koncak,NA,1985,82,20.7,8.3,3.2,6.3,50.7,0,0,0,1.9,3.1,60.7,2.1,3.6,5.7,0.7,0.5,0.8,1.4,10.3,0
250,Karl Malone,2010,1985,81,30.6,14.9,6.2,12.5,49.6,0,0,0,2.4,5,48.1,2.1,6.7,8.9,2.9,1.3,0.5,3.4,16.1,1
251,Keith Lee,NA,1985,58,20.6,7.4,3.1,6.6,46.6,0,0.2,22.2,1.3,1.7,78.1,2,4.1,6.1,1.2,0.5,0.6,1.3,10.6,0
252,Ken Johnson,NA,1985,64,12.7,4.1,1.8,3.3,52.8,0,0,0,0.6,1.3,43.5,1.4,2.4,3.8,0.3,0.2,0.3,0.9,5.5,0
253,Lorenzo Charles,NA,1985,36,7.6,3.4,1.4,2.4,55.7,0,0,0,0.7,1,66.7,0.4,0.7,1.1,0.2,0.1,0.2,0.5,3,0
254,Manute Bol,NA,1985,80,26.1,3.7,1.6,3.5,46,0,0,0,0.5,1.1,48.8,1.5,4.4,6,0.3,0.3,5,0.8,12.1,0
255,Mike Phelps,NA,1985,70,12.6,4,1.7,4.1,40.9,0,0.2,8.3,0.6,1.1,59.5,0.4,0.9,1.3,1,0.6,0,0.9,3.2,0
256,Mike Smrek,NA,1985,38,10.7,2.8,1.2,3.2,37.7,0,0.1,0,0.4,0.8,55.2,1.2,1.7,2.9,0.5,0.2,0.6,0.8,3.9,0
257,Patrick Ewing,2008,1985,50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,20.6,1
258,Pete Williams,NA,1985,53,10.8,2.8,1.3,2.1,60.4,0,0,0,0.3,0.8,42.5,0.9,1.9,2.8,0.3,0.4,0.4,0.4,5,0
259,Sam Vincent,NA,1985,57,7.6,3.2,1,2.8,36.4,0,0.1,25,1.1,1.2,92.9,0.2,0.6,0.8,1.2,0.3,0.1,0.9,2.9,0
260,Spud Webb,NA,1985,79,15.6,7.8,2.5,5.2,48.3,0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1.6,4.3,1,0.1,2,9.3,0
261,Steve Harris,NA,1985,57,8.5,4.5,1.8,4.1,44.2,0,0.1,20,0.9,0.9,92.6,0.4,0.6,1,0.9,0.4,0.1,0.6,3.9,0
262,Terry Catledge,NA,1985,64,17.1,7.7,3.2,6.7,46.9,0,0.1,0,1.4,2.2,64.7,1.7,2.6,4.3,0.3,0.5,0.1,1.1,7.5,0
263,Terry Porter,NA,1985,79,15.4,7.1,2.7,5.7,47.4,0.2,0.5,31,1.6,2,80.6,0.4,1,1.5,2.5,1,0,1.3,7.4,0
264,Uwe Blab,NA,1985,48,8.5,2.6,0.9,2,46.8,0,0,0,0.8,1.4,53.7,0.5,1.4,1.9,0.4,0.1,0.3,0.6,2.9,0
265,Wayman Tisdale,NA,1985,81,28.1,14.7,6.4,12.4,51.5,0,0,0,2,2.9,68.4,2.4,4.9,7.2,1,0.4,0.5,2.3,14.6,0
266,Xavier McDaniel,NA,1985,82,33,17.1,7,14.3,49,0,0.1,20,3,4.4,68.7,3.7,4.2,8,2.4,1.2,0.5,3,17.4,0
267,Anthony Jones,NA,1986,65,13.2,5,2,5,41.3,0.1,0.3,35,0.8,1,76.9,0.6,1,1.6,1.1,0.7,0.3,0.8,4.7,0
268,Ben Coleman,NA,1986,68,15.1,6.6,2.7,4.6,58.1,0,0,0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,8.6,0
269,Billy Thompson,NA,1986,59,12.9,5.6,2.4,4.4,54.4,0,0,0,0.8,1.3,64.9,1.2,1.7,2.9,1,0.3,0.5,1,6.8,0
270,Brad Daugherty,NA,1986,80,33.7,15.7,6.1,11.3,53.8,0,0,0,3.5,5,69.6,1.9,6.2,8.1,3.8,0.6,0.8,3.1,19.1,0
271,Brad Sellers,NA,1986,80,21.9,8.5,3.5,7.6,45.5,0,0.1,20,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,10.1,0
272,Buck Johnson,NA,1986,60,8.7,3.8,1.6,3.4,46.8,0,0,0,0.7,1,69,0.6,0.8,1.5,0.7,0.3,0.3,0.6,3.8,0
273,Chris Washburn,NA,1986,35,11,3.8,1.6,4.1,39.3,0,0,0,0.5,1.5,35.3,1,1.9,2.9,0.5,0.2,0.2,1.1,2.9,0
274,Chuck Person,NA,1986,82,36,18.8,7.7,16.6,46.8,0.6,1.7,35.5,2.7,3.6,74.7,2,6.2,8.3,3.6,1.1,0.2,2.6,19.6,0
275,Clinton Smith,NA,1986,41,8.3,3.1,1.2,2.9,42.7,0,0,0,0.7,0.9,75,0.6,0.7,1.4,1.1,0.3,0,0.6,3.4,0
276,Conner Henry,NA,1986,54,6,2.3,0.9,2.5,33.8,0.2,0.8,31,0.3,0.5,63,0.1,0.5,0.6,0.6,0.2,0,0.5,1.4,0
277,Dave Feitl,NA,1986,62,8,3.7,1.4,3.3,43.6,0,0,0,0.9,1.1,74.6,0.6,1.3,1.9,0.4,0.1,0.1,0.6,3.4,0
278,David Wingate,NA,1986,77,20.9,8.8,3.4,7.8,43,0.2,0.7,25,1.9,2.6,74.1,0.9,1.1,2,2,1.2,0.3,1.7,7.5,0
279,Dell Curry,NA,1986,67,9.5,4.9,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1.2,0.9,0.4,0.1,0.7,3.8,0
280,Dennis Rodman,2011,1986,77,15,6.5,2.8,5.1,54.5,0,0,0,1,1.6,58.7,2.1,2.2,4.3,0.7,0.5,0.6,1.2,8.5,1
281,Dwayne Washington,NA,1986,72,22.2,8.6,3.6,7.5,47.8,0.1,0.3,16.7,1.4,1.7,78.4,0.5,1.3,1.8,4.2,1.3,0.1,2.4,9.2,0
282,Grant Gondrezick,NA,1986,64,13.1,5.5,2.1,4.7,45,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1,1.7,1.3,0.4,0.1,0.9,4.9,0
283,Harold Pressley,NA,1986,67,13.6,4.6,2,4.7,42.3,0.1,0.4,25,0.5,0.7,72.9,1,1.6,2.6,1.8,0.6,0.3,0.9,6.1,0
284,Hot Rod Williams,NA,1986,80,33.9,14.6,5.4,11.2,48.5,0,0,0,3.7,5,74.5,2.8,5.1,7.9,1.9,0.7,2.1,1.7,18.4,0
285,Jeff Hornacek,NA,1986,80,19.5,5.3,2,4.4,45.4,0.2,0.5,27.9,1.2,1.5,77.7,0.5,1.8,2.3,4.5,0.9,0.1,1.9,8.4,0
286,John Salley,NA,1986,82,17.8,5.3,2,3.5,56.2,0,0,0,1.3,2.1,61.4,1.3,2.3,3.6,0.7,0.5,1.5,0.9,8.3,0
287,John Williams,NA,1986,78,22.7,9.2,3.6,8,45.4,0.1,0.5,22.2,1.8,2.9,64.6,1.7,3,4.7,2.4,1.6,0.4,1.6,11.4,0
288,Johnny Dawkins,NA,1986,81,20.8,10.3,4.1,9.4,43.7,0.2,0.6,29.8,1.9,2.4,80.1,0.7,1.4,2.1,3.6,0.8,0,1.5,9.6,0
289,Johnny Newman,NA,1986,59,10.7,5,1.9,4.7,41.1,0,0.4,4.5,1.1,1.3,86.8,0.6,0.6,1.2,0.5,0.3,0.1,0.8,3.4,0
290,Johnny Rogers,NA,1986,45,10.4,4.2,2,4.1,48.6,0,0.1,0,0.2,0.3,60,0.7,1,1.7,0.6,0.2,0.2,0.4,4.2,0
291,Keith Smith,NA,1986,42,11,3.3,1.4,3.6,38,0.1,0.2,33.3,0.5,0.7,75,0.3,0.5,0.8,1,0.6,0.1,0.7,2.6,0
292,Kenny Gattison,NA,1986,77,14.3,5.2,1.9,4,47.6,0,0,0,1.4,2.2,63.2,1.1,2.4,3.5,0.5,0.3,0.4,1.1,5.9,0
293,Kenny Walker,NA,1986,68,25.3,10.4,4.2,8.5,49.1,0,0.1,0,2.1,2.7,75.7,1.7,3.2,5,1.1,0.7,0.7,1.1,11.8,0
294,Kevin Duckworth,NA,1986,65,13.5,5.4,2,4.2,47.6,0,0,0,1.4,2.1,68.7,1.2,2.3,3.4,0.4,0.3,0.3,1.2,5.9,0
295,Larry Krystkowiak,NA,1986,68,14.8,6.6,2.5,5.5,45.6,0,0.2,8.3,1.6,2.2,74.3,1.1,2.4,3.5,1.3,0.3,0.2,1,7.4,0
296,Mark Alarie,NA,1986,64,17.3,7.9,3.4,6.9,49,0,0.1,22.2,1,1.6,66.3,1.1,2.2,3.3,1.2,0.3,0.4,0.9,8.2,0
297,Mark Price,NA,1986,67,18.2,6.9,2.6,6.3,40.8,0.3,1,32.9,1.4,1.7,83.3,0.5,1.3,1.7,3,0.6,0.1,1.6,6.8,0
298,Mike Brown,NA,1986,62,13.2,4.2,1.7,3.2,52.7,0,0,0,0.7,1.2,63.9,1.1,2.3,3.5,0.4,0.3,0.1,0.9,5.5,0
299,Mo Martin,NA,1986,43,6.7,3.4,1.2,3.1,37.8,0.1,0.3,20,1,1.5,63.6,0.3,0.7,1,0.8,0.3,0.1,0.8,2.3,0
300,Nate McMillan,NA,1986,71,27.8,5.3,2,4.2,47.5,0,0.1,0,1.2,2,61.7,1.4,3.2,4.7,8.2,1.8,0.6,2.2,15.4,0
301,Rafael Addison,NA,1986,62,11.5,5.8,2.4,5.3,44.1,0.3,0.8,32,0.8,1,79.7,0.7,1,1.7,0.7,0.4,0.1,0.9,4.7,0
302,Ron Harper,NA,1986,82,37.4,22.9,9,19.7,45.5,0.2,1.1,21.3,4.7,6.9,68.4,2.1,2.7,4.8,4.8,2.5,1,4.2,18.9,0
